time,sensor_id, x_location, y_location, in_temp, out_temp,
20.64, 0, 1.79621, -0.115357, 19.3688, 10.885, 
20.768, 0, 1.79621, -0.115357, 19.2658, 11.4217, 
20.896, 0, 1.79621, -0.115357, 19.2298, 11.5862, 
21.024, 0, 1.79621, -0.115357, 19.3381, 11.921, 
21.152, 0, 1.79621, -0.115357, 19.3486, 10.516, 
21.28, 0, 1.79621, -0.115357, 19.2388, 11.0747, 
21.408, 0, 1.79621, -0.115357, 19.273, 10.9098, 
21.536, 0, 1.79621, -0.115357, 19.4252, 10.8811, 
21.664, 0, 1.79621, -0.115357, 19.3847, 10.5489, 
21.792, 0, 1.79621, -0.115357, 19.2042, 10.4892, 
21.92, 0, 1.79621, -0.115357, 19.3074, 9.83206, 
22.048, 0, 1.79621, -0.115357, 19.2732, 10.6816, 
22.176, 0, 1.79621, -0.115357, 19.01, 10.3641, 
22.304, 0, 1.79621, -0.115357, 19.2804, 10.3336, 
22.432, 0, 1.79621, -0.115357, 19.1113, 9.86497, 
22.56, 0, 1.79621, -0.115357, 19.2258, 10.5146, 
22.688, 0, 1.79621, -0.115357, 19.2775, 9.37016, 
40.608, 1, 4.62, 1.21, 13.2247, 3.7085, 
40.736, 1, 4.62, 1.21, 13.4836, 3.60432, 
40.864, 1, 4.62, 1.21, 13.7765, 3.56517, 
40.992, 1, 4.62, 1.21, 13.3607, 3.52772, 
41.12, 1, 4.62, 1.21, 13.3692, 4.10981, 
41.248, 1, 4.62, 1.21, 13.5607, 4.09133, 
41.376, 1, 4.62, 1.21, 13.2698, 4.03851, 
41.504, 1, 4.62, 1.21, 13.219, 3.61418, 
41.632, 1, 4.62, 1.21, 13.1658, 4.36364, 
41.76, 1, 4.62, 1.21, 13.6841, 4.05246, 
41.888, 1, 4.62, 1.21, 13.4036, 4.39533, 
42.016, 1, 4.62, 1.21, 13.333, 4.70225, 
42.144, 1, 4.62, 1.21, 13.4564, 4.60983, 
42.272, 1, 4.62, 1.21, 13.3409, 4.8485, 
42.4, 1, 4.62, 1.21, 13.1682, 4.79511, 
42.528, 1, 4.62, 1.21, 13.255, 4.18178, 
42.656, 1, 4.62, 1.21, 13.2468, 4.8456, 
42.784, 1, 4.62, 1.21, 13.3789, 4.25064, 
42.912, 1, 4.62, 1.21, 13.6433, 4.76149, 
63.392, 2, 1.30989, 2.56938, 20.2251, 13.7538, 
63.52, 2, 1.30989, 2.56938, 20.0935, 13.6796, 
63.648, 2, 1.30989, 2.56938, 19.9297, 13.5844, 
63.776, 2, 1.30989, 2.56938, 19.9226, 13.9103, 
63.904, 2, 1.30989, 2.56938, 20.0113, 13.6367, 
64.032, 2, 1.30989, 2.56938, 20.0974, 13.8273, 
64.16, 2, 1.30989, 2.56938, 19.7365, 13.8025, 
64.288, 2, 1.30989, 2.56938, 20.201, 13.546, 
64.416, 2, 1.30989, 2.56938, 20.0404, 13.6337, 
64.544, 2, 1.30989, 2.56938, 20.0588, 13.421, 
64.672, 2, 1.30989, 2.56938, 19.8322, 13.248, 
64.8, 2, 1.30989, 2.56938, 20.3488, 13.3757, 
64.928, 2, 1.30989, 2.56938, 20.494, 13.385, 
65.056, 2, 1.30989, 2.56938, 20.2314, 13.2859, 
65.184, 2, 1.30989, 2.56938, 20.0523, 13.3281, 
65.312, 2, 1.30989, 2.56938, 20.2825, 12.9621, 
86.304, 3, 4.06932, 3.90368, 14.4366, 3.50879, 
86.432, 3, 4.06932, 3.90368, 14.1544, 3.599, 
86.56, 3, 4.06932, 3.90368, 14.3254, 3.15411, 
86.688, 3, 4.06932, 3.90368, 14.2443, 3.13046, 
86.816, 3, 4.06932, 3.90368, 14.1364, 3.35802, 
86.944, 3, 4.06932, 3.90368, 14.2707, 3.15684, 
87.072, 3, 4.06932, 3.90368, 14.0163, 3.17256, 
87.2, 3, 4.06932, 3.90368, 14.1105, 3.46585, 
87.328, 3, 4.06932, 3.90368, 13.9844, 3.9582, 
87.456, 3, 4.06932, 3.90368, 13.9158, 3.94891, 
87.584, 3, 4.06932, 3.90368, 13.7662, 3.46265, 
87.712, 3, 4.06932, 3.90368, 13.8195, 3.42842, 
87.84, 3, 4.06932, 3.90368, 13.8809, 3.25008, 
87.968, 3, 4.06932, 3.90368, 13.8057, 3.188, 
88.096, 3, 4.06932, 3.90368, 13.6793, 3.21627, 
88.224, 3, 4.06932, 3.90368, 13.5577, 3.24182, 
88.352, 3, 4.06932, 3.90368, 13.6099, 3.41086, 
